Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,46000,1,650,1.43,45350,46050,45000,135137,6173248175,1382690908000,30058498,KSQ
089030,KR7089030001,테크윙,KOSDAQ,중견기업부,37200,3,0,0.0,37600,37600,36150,1182956,43488810600,1378395594000,37053645,KSQ
005440,KR7005440003,현대지에프홀딩스,KOSPI,,8730,1,280,3.31,8430,8790,8430,210746,1829977770,1361044547730,155904301,STK
051915,KR7051911006,LG화학우,KOSPI,,176000,1,2300,1.32,174800,178400,172900,52640,9231324050,1353228800000,7688800,STK
007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,20950,1,850,4.23,20100,21150,19990,630495,13052747120,1349914423200,64435056,KSQ
294870,KR7294870001,HDC현대산업개발,KOSPI,,20450,1,150,0.74,20400,21050,20250,379208,7799680550,1347804898500,65907330,STK
293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,중견기업부,15000,1,750,5.26,14370,15080,14300,620873,9225604575,1346803665000,89786911,KSQ
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,20300,2,-750,-3.56,22500,22550,19200,4704760,95187557135,1334330124400,65730548,KSQ
003090,KR7003090008,대웅,KOSPI,,22900,1,800,3.62,22100,23050,22100,150457,3424879775,1331451342000,58141980,STK
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,70700,1,500,0.71,70400,71500,69800,214399,15147255650,1321457164300,18691049,KSQ
003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,11780,1,670,6.03,11390,12100,11330,2317102,27174565715,1319426215380,112005621,KSQ
001800,KR7001800002,오리온홀딩스,KOSPI,,21050,1,400,1.94,20600,21150,20550,117859,2468229200,1318686133100,62645422,STK
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,16550,1,710,4.48,15660,16820,15620,1244450,20380873000,1314692346200,79437604,KSQ
484870,KR7484870001,엠앤씨솔루션,KOSPI,,143400,1,100,0.07,145100,146400,143100,19340,2788909100,1312669260000,9153900,STK
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,60400,2,-2300,-3.67,61900,62500,57500,377245,22909137550,1302368658000,21562395,KSQ
456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,79300,1,2300,2.99,76000,79600,75400,651656,50739953550,1302150408000,16420560,KSQ
120110,KR7120110002,코오롱인더,KOSPI,,47300,1,650,1.39,47000,47950,46400,313397,14851829875,1301653004300,27519091,STK
096530,KR7096530001,씨젠,KOSDAQ,우량기업부,24850,1,700,2.9,24200,24850,23900,288793,7095299675,1297815950900,52225994,KSQ
030610,KR7030610000,교보증권,KOSPI,,11370,1,870,8.29,10630,11400,10600,346326,3835974410,1295758866570,113962961,STK
000080,KR7000080002,하이트진로,KOSPI,,18060,1,10,0.06,18010,18080,17930,123900,2232768220,1266613014660,70133611,STK
174900,KR7174900001,앱클론,KOSDAQ,관리종목(소속부없음),63300,1,8600,15.72,55300,64700,54500,845237,52777256750,1260201340200,19908394,KSQ
071320,KR7071320006,지역난방공사,KOSPI,,107300,2,-2400,-2.19,108100,109000,104200,25486,2726875350,1242399231200,11578744,STK
330590,KR7330590001,롯데리츠,KOSPI,,4295,1,25,0.59,4270,4330,4270,400026,1724783561,1241121356780,288968884,STK
300720,KR7300720000,한일시멘트,KOSPI,,16760,1,260,1.58,16540,16800,16500,115213,1924253280,1232617702840,73545209,STK
415640,KR7415640002,KB발해인프라,KOSPI,,10000,1,30,0.3,9950,10040,9940,161109,1610289795,1225455480000,122545548,STK
005300,KR7005300009,롯데칠성,KOSPI,,131300,2,-200,-0.15,131000,133000,130800,22596,2980949200,1218317469200,9278884,STK
